redcap_data_access_group,dag_id,place_name,postcode,country,lon,lat,ccg
East and North Hertfordshire NHST,RWH01,Lister Hospital,SG1 4AB,England,-0.21271154284477234,51.924610137939453,E38000049
Stockport NHSFT,RWJ09,Stepping Hill Hospital,SK2 7JE,England,-2.132004976272583,53.383781433105469,E38000174
Worcestershire Acute Hospitals NHS Trust,RWP50,Worcestershire Royal Hospital,WR5 1DD,England,-2.1793410778045654,52.191516876220703,E38000166
Warrington and Halton Teaching Hospitals NHS Foundation Trust,RWWWH,Warrington Hospital,WA5 1QG,England,-2.6107027530670166,53.393978118896484,E38000194
Calderdale and Huddersfield NHS Trust,RWY01,Huddersfield Royal Infirmary,HD3 3EA,England,-1.8163231611251831,53.655475616455078,E38000064
NUH Nottingham University Hosptial,RX1CC,Nottingham University Hospitals Nhs Trust - City Campus,NG5 1PB,England,-1.1584131717681885,52.991237640380859,E38000132
NUH Nottingham University Hosptial,RX1RA,Nottingham University Hospitals Nhs Trust - Queen's Medical Centre Campus,NG7 2UH,England,-1.1859418153762817,52.943801879882813,E38000132
East Sussex Healthcare NHS Trust,RXC01,Conquest Hospital,TN37 7RD,England,0.56728416681289673,50.885166168212891,E38000076
East Sussex Healthcare NHS Trust,RXC02,Eastbourne District General Hospital,BN21 2UD,England,0.27112165093421936,50.786968231201172,E38000055
East Sussex Healthcare NHS Trust,RXC01,Conquest Hospital,TN37 7RD,England,0.56728416681289673,50.885166168212891,E38000076
East Sussex Healthcare NHS Trust,RXC02,Eastbourne District General Hospital,BN21 2UD,England,0.27112165093421936,50.786968231201172,E38000055
Mid Yorkshire Hospitals NHST,RXF05,Pinderfields Hospital,WF1 4DG,England,-1.4885402917861938,53.692420959472656,E38000190
Brighton and Sussex University Hospitals NHST,RXH01,Royal Sussex County Hospital,BN2 5BE,England,-0.11816248297691345,50.819469451904297,E38000021
Brighton and Sussex University Hospitals NHST,RXH09,Princess Royal Hospital,RH16 4EX,England,-0.09026799350976944,50.991096496582031,E38000083
Sandwell and West Birmingham NHST,RXK01,Sandwell District General Hospital,B71 4HJ,England,-1.9888573884963989,52.528079986572266,E38000144
Sandwell and West Birmingham NHST,RXK02,City Hospital,B18 7QH,England,-1.9324921369552612,52.488632202148437,E38000144
Blackpool Teaching Hospitals NHSFT,RXL01,Blackpool Victoria Hospital,FY3 8NR,England,-3.0158531665802002,53.820606231689453,E38000015
Royal Preston Hospital,RXN02,Royal Preston Hospital,PR2 9HT,England,-2.7068295478820801,53.791511535644531,E38000227
University Hospital of North Durham,RXPCP,University Hospital Of North Durham,DH1 5TW,England,-1.5938187837600708,54.788501739501953,E38000116
Darlington Memorial Hospital,RXPDA,Darlington Memorial Hospital,DL3 6HX,England,-1.5637173652648926,54.530376434326172,E38000042
Buckinghamshire Healthcare NHS Trust,RXQ02,Stoke Mandeville Hospital,HP21 8AL,England,-0.80199754238128662,51.797977447509766,E38000223
Buckinghamshire Healthcare NHS Trust,RXQ50,Wycombe Hospital,HP11 2TT,England,-0.75341349840164185,51.626441955566406,E38000223
East Lancashire Hospitals NHST,RXR20,Royal Blackburn Hospital,BB2 3HH,England,-2.4627013206481934,53.735565185546875,E38000014
The Royal Shrewsbury Hospital,RXWAS,Royal Shrewsbury Hospital,SY3 8XQ,England,-2.7937374114990234,52.709362030029297,E38000147
Imperial College Healthcare NHST,RYJ01,St Mary's Hospital (Hq),W2 1NY,England,-0.17355506122112274,51.516971588134766,E38000202
Imperial College Healthcare NHST,RYJ02,Charing Cross Hospital,W6 8RF,England,-0.21992097795009613,51.487045288085938,E38000070
Imperial College Healthcare NHST,RYJ03,Hammersmith Hospital,W12 0HS,England,-0.2347068190574646,51.517421722412109,E38000070
Imperial College Healthcare NHST,RYJ01,St Mary's Hospital (Hq),W2 1NY,England,-0.17355506122112274,51.516971588134766,E38000202
Western Sussex Hospitals NHSFT,RYR16,St Richard's Hospital,PO19 6SE,England,-0.76801276206970215,50.843555450439453,E38000213
Western Sussex Hospitals NHSFT,RYR18,Worthing Hospital,BN11 2DH,England,-0.36341506242752075,50.816692352294922,E38000213
